Date,Narration,Withdrawal Amt.,Deposit Amt.
01/09/2026,UPI/DR/320678652212/IRCTC BOOKING/HDFC/irctc@ybl/Payment,1727.00,
02/09/2026,UPI/DR/371571910528/UBER INDIA/HDFC/uber@ybl/Payment,158.00,
03/09/2026,UPI/DR/899942602415/BLINKIT/HDFC/blinkit@ybl/Payment,1084.00,
04/09/2026,UPI/DR/786930097954/BLINKIT/HDFC/blinkit@ybl/Payment,1302.00,
05/09/2026,UPI/DR/892084909410/AMAZON PAY INDIA/HDFC/amazon@apl/Payment,2911.00,
06/09/2026,UPI/DR/511407685005/AMAZON PAY INDIA/HDFC/amazon@apl/Payment,1989.00,
07/09/2026,UPI/DR/607460163663/AMAZON PAY INDIA/HDFC/amazon@apl/Payment,1133.00,
08/09/2026,UPI/DR/682898702120/APOLLO PHARMACY/HDFC/apollo@ybl/Payment,893.00,
09/09/2026,UPI/DR/445611891056/BLINKIT/HDFC/blinkit@ybl/Payment,1124.00,
10/09/2026,UPI/DR/711042416845/SWIGGY/HDFC/swiggy@icici/Payment,257.00,
11/09/2026,UPI/DR/496012152732/IRCTC BOOKING/HDFC/irctc@ybl/Payment,2411.00,
12/09/2026,UPI/DR/668920330264/BLINKIT/HDFC/blinkit@ybl/Payment,705.00,
13/09/2026,UPI/DR/160029520454/JIO RECHARGE/HDFC/jio@ybl/Payment,482.00,
14/09/2026,UPI/DR/889933667405/UBER INDIA/HDFC/uber@ybl/Payment,172.00,
15/09/2026,UPI/DR/297495000538/JIO RECHARGE/HDFC/jio@ybl/Payment,782.00,
16/09/2026,UPI/DR/220418265100/UBER INDIA/HDFC/uber@ybl/Payment,101.00,
17/09/2026,UPI/DR/853653918260/UBER INDIA/HDFC/uber@ybl/Payment,304.00,
18/09/2026,UPI/DR/567879488570/BLINKIT/HDFC/blinkit@ybl/Payment,476.00,
19/09/2026,UPI/DR/779935443376/UBER INDIA/HDFC/uber@ybl/Payment,92.00,
20/09/2026,UPI/DR/247444928859/IRCTC BOOKING/HDFC/irctc@ybl/Payment,1571.00,
21/09/2026,UPI/DR/800317610024/IRCTC BOOKING/HDFC/irctc@ybl/Payment,933.00,
22/09/2026,UPI/DR/698106737116/JIO RECHARGE/HDFC/jio@ybl/Payment,505.00,
23/09/2026,UPI/DR/622676040392/UBER INDIA/HDFC/uber@ybl/Payment,118.00,
24/09/2026,UPI/DR/760215344357/UBER INDIA/HDFC/uber@ybl/Payment,167.00,
25/09/2026,UPI/DR/203613367093/IRCTC BOOKING/HDFC/irctc@ybl/Payment,743.00,
26/09/2026,UPI/DR/290249758880/UBER INDIA/HDFC/uber@ybl/Payment,180.00,
27/09/2026,UPI/DR/450301680449/IRCTC BOOKING/HDFC/irctc@ybl/Payment,2078.00,
28/09/2026,UPI/DR/356830306628/JIO RECHARGE/HDFC/jio@ybl/Payment,732.00,
05/09/2026,NEFT-TECHCADD-SALARY SEPTEMBER,,82000.00
,TOTAL,,
